id,xcenter,ycenter,aperture_sum,bkg_sum,aperture_sum_bkgsub,aperture_sum_bkgsub_err,Mag,Mag_err
1,546.4471629446892,14.01987742953328,537652.290694181,455637.1982470549,82015.09244712611,1054.7650183312821,17.160643679043066,0.013962776194400311
2,108.4522649558261,21.37399433310947,770211.723827169,469899.94154424994,300311.7822829191,1165.940601412939,15.751447197392423,0.004215158330889193
3,43.074926679308916,24.652427221084622,625868.7848389428,534474.4589414604,91394.32589748246,1131.3479467577852,17.043080041107732,0.013439614043137904
4,14.871229109338705,69.78281977783874,534307.6717211661,460955.7734490822,73351.8982720839,1055.7120042960676,17.28184973240507,0.015625860408038733
5,191.4417231085004,82.96739915813927,787973.0274601409,516390.44891230215,271582.5785478387,1193.2663756430595,15.860623357401938,0.004770296058616532
6,101.00481557676433,85.74350295139129,546550.1294698882,471388.38253080234,75161.74693908583,1066.4198175114127,17.25538596198381,0.015404272026972435
7,156.5336551485223,90.86094393821423,560808.6039734586,535933.5576902127,24875.0462832459,1102.8843335229385,18.455968382259968,0.04813665499438049
8,334.90899799488386,93.08106600487272,584682.0200940487,453822.98771673534,130859.03237731336,1075.9815794224623,16.653368864380223,0.008927111713700045
9,274.51883392841967,110.07268762042048,555873.8686542108,471921.5510244811,83952.31762972975,1071.03249461471,17.13529640098272,0.013850957451011517
10,169.01055828172846,117.15291782752091,541087.9282053325,458475.8535336561,82612.07467167638,1057.741313118621,17.152769303662105,0.013900991449699222
11,370.496215842171,135.88735233965596,543973.9387433253,439054.5032585842,104919.43548474112,1049.853030253831,16.893238262912305,0.010863815933439273
12,311.3869722747597,138.4841586565696,574057.1657315064,514880.67882919643,59176.48690230999,1099.296146678668,17.515005178283705,0.02016858196430787
13,382.14496723356535,143.19516150022497,548788.1634322364,439054.5032585842,109733.66017365223,1052.1433409103831,16.844528462551317,0.01040985986814536
14,439.3098749032828,142.8491773739644,553774.9188996102,510333.39793223055,43441.52096737962,1087.9344774179997,17.850615570224413,0.027189896574285857
15,573.0782830745532,162.59011941588804,573400.6328296573,468680.38269062975,104720.25013902754,1077.6739706971123,16.895301448665823,0.011172916684523878
16,196.59385733681597,168.88149106628103,534958.1469121933,467431.92350038124,67526.22341181204,1059.0960575361873,17.37169697271872,0.017028356267676285
17,388.11733826226134,214.93095642792724,545969.0345933893,465351.069803066,80617.96479032323,1063.299042819285,17.179298550604347,0.014319683879286744
18,13.785144404839063,245.3417900610852,587155.1641911628,473550.92902472324,113604.23516643955,1086.2913170109175,16.806891820516118,0.010381536226627951
19,55.05686333653261,246.14076524874173,534988.3434255896,465476.4813555907,69511.86206999893,1058.1824775327461,17.340230819808955,0.016527664223703054
20,498.01751333769573,269.7842485266364,560853.6282487456,467586.5889104715,93267.0393382741,1071.3240976720303,17.021057649031555,0.012471035653055258
21,205.55290976244507,339.1598016108034,538739.6024804313,470020.8162447453,68718.78623568604,1062.1048909002445,17.352689425843778,0.01678037903777134
22,484.42717262533876,342.6778025933082,931465.4249250889,506426.5202132727,425038.90471181617,1247.9450943931786,15.374306416548798,0.003187694053327462
23,495.88252644969737,350.3818282455709,1205476.803355867,472957.39683099213,732519.406524875,1340.803558734559,14.78333028876909,0.001987265334885947
24,354.4513615139124,363.9013231025503,543082.6835673465,468251.65017385955,74831.03339348699,1063.3120517655307,17.260173769115937,0.015427261154224747
25,556.1520146541883,365.37744055045306,531850.3855338123,461037.37786545366,70813.00766835868,1054.5864271074854,17.32009552411778,0.016168844137688005
26,597.202829177837,403.66742376597296,353958.6706822172,466213.77873051044,nan,nan,nan,nan
27,502.32441354554624,439.8901561513324,797551.6537206888,469683.0859092644,327868.5678114244,1177.514142503691,15.656128666935683,0.0038992060539684075
28,322.3511958264791,453.65117738227497,559177.7120356553,464012.55115402787,95165.16088162741,1068.8633276393737,16.9991831606199,0.012194220070321003
29,334.8398723761316,453.51350574825346,559142.775778638,533894.8024445202,25247.973334117793,1101.1992671990215,18.439811818845595,0.04735318865306276
30,178.37943733131624,457.357042629436,540246.0001230561,453024.7079801228,87221.2921429333,1054.7503789426084,17.093821835318842,0.013129162137857298
31,463.4643446853639,481.35026154373026,548579.581362484,520841.8077949339,27737.773567550117,1090.3958799119462,18.33769912958571,0.04267980643570307
32,452.6433211090969,493.7787637766729,539266.9459675264,473288.94055006944,65978.00541745697,1063.8972719074384,17.396880170354923,0.017506944333971753
33,205.11894255078238,495.226327295939,545293.3581827385,469964.10559437884,75329.2525883597,1065.158946655269,17.252968979923825,0.015351845778997225
34,274.8320301463574,535.1616650314253,534212.9367373234,533454.4921170519,758.4446202715626,1089.618115292114,22.245568437999054,1.559768974759256
35,572.3763644790322,535.0363988254325,550065.602480948,464316.0488787421,85749.55360220588,1064.7354634640726,17.11229845631796,0.013480924904234212
36,362.67957305393094,537.4278981192062,958810.5189336403,452667.9464341813,506142.572499459,1237.2164186624598,15.184695955755686,0.0026538883285564135
37,237.41630443744918,546.5105975833607,535934.9178876125,462457.2947103165,73477.62317729596,1057.1960833069638,17.279990377236683,0.015621052206286278
38,198.7008851190517,570.0288415115156,548803.5069780735,470083.2421502655,78720.26482780802,1066.861480623006,17.205161759801104,0.014714019471936913
39,82.16728879134658,591.4802142990179,743958.9365750697,462375.33677300776,281583.5998020619,1151.3493126226783,15.82135973418449,0.004439249834127906
